GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
546380,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.311205,2.212703,352.89001,-0,-0.001,-0.004
546381,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.320237,2.215716,352.892055,-0.001,0,0
546382,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.318182,2.216357,352.892244,-0,0,-0
546383,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.322665,2.219268,352.890355,-0.001,-0.001,-0.002
546384,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.319159,2.216528,352.890213,-0.001,-0.001,-0.002
546385,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.321551,2.214314,352.892153,-0.001,-0,-0.001
546386,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.319911,2.216429,352.891549,-0.002,0,-0
546387,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.318954,2.216996,352.892343,-0.002,-0.001,-0.002
546388,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.32178,2.221537,352.895925,-0.005,-0.001,0.003
546389,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.312425,2.220828,352.896859,-0.001,-0.001,-0.003
546390,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.310412,2.215801,352.894882,-0.001,-0.002,-0.002
